,t # 0
31731,e 41 42 0
31732,e 42 45 0
31733,t # 326
31734,v 0 0
31735,v 1 0
31736,v 2 0
31737,v 3 0
31738,v 4 0
31739,v 5 0
31740,v 6 0
31741,v 7 0
31742,v 8 0
31743,v 9 0
31744,v 10 0
31745,v 11 0
31746,v 12 0
31747,v 13 0
31748,v 14 0
31749,v 15 0
31750,v 16 0
31751,v 17 0
31752,v 18 0
31753,v 19 0
31754,v 20 0
31755,v 21 0
31756,v 22 0
31757,v 23 0
31758,v 24 0
31759,v 25 0
31760,v 26 0
31761,v 27 0
31762,v 28 0
31763,v 29 0
31764,v 30 0
31765,v 31 1
31766,v 32 1
31767,v 33 1
31768,v 34 1
31769,v 35 1
31770,v 36 1
31771,v 37 1
31772,v 38 1
31773,v 39 1
31774,v 40 1
31775,v 41 1
31776,v 42 1
31777,v 43 1
31778,v 44 1
31779,v 45 1
31780,v 46 1
31781,v 47 1
31782,v 48 1
31783,e 0 16 0
31784,e 0 1 0
31785,e 1 2 0
31786,e 1 15 0
31787,e 1 31 0
31788,e 1 3 0
31789,e 2 18 0
31790,e 2 33 0
31791,e 2 3 0
31792,e 3 35 0
31793,e 3 4 0
31794,e 4 20 0
31795,e 4 34 0
31796,e 4 5 0
31797,e 5 36 0
31798,e 5 6 0
31799,e 5 19 0
31800,e 6 20 0
31801,e 6 7 0
31802,e 6 36 0
31803,e 6 38 0
31804,e 7 37 0
31805,e 7 8 0
31806,e 7 9 0
31807,e 8 10 0
31808,e 8 9 0
31809,e 9 10 0
31810,e 10 11 0
31811,e 10 26 0
31812,e 11 12 0
31813,e 11 26 0
31814,e 12 13 0
31815,e 12 14 0
31816,e 12 29 0
31817,e 13 30 0
31818,e 13 14 0
31819,e 14 29 0
31820,e 15 16 0
31821,e 16 18 0
31822,e 16 17 0
31823,e 16 40 0
31824,e 17 18 0
31825,e 17 19 0
31826,e 17 42 0
31827,e 18 19 0
31828,e 18 44 0
31829,e 19 20 0
31830,e 19 43 0
31831,e 20 45 0
31832,e 20 21 0
31833,e 21 45 0
31834,e 21 47 0
31835,e 21 22 0
31836,e 22 24 0
31837,e 22 23 0
31838,e 22 46 0
31839,e 23 24 0
31840,e 23 25 0
31841,e 24 25 0
31842,e 25 26 0
31843,e 26 28 0
31844,e 26 27 0
31845,e 27 29 0
31846,e 27 28 0
31847,e 28 30 0
31848,e 28 29 0
31849,e 29 30 0
31850,e 31 41 0
31851,e 31 32 0
31852,e 31 40 0
31853,e 32 41 0
31854,e 32 33 0
31855,e 32 40 0
31856,e 32 42 0
31857,e 33 41 0
31858,e 34 35 0
31859,e 34 44 0
31860,e 35 43 0
31861,e 36 47 0
31862,e 36 38 0
31863,e 37 39 0
31864,e 37 48 0
31865,e 38 39 0
31866,e 38 45 0
31867,e 38 48 0
31868,e 39 46 0
31869,e 39 47 0
31870,e 39 48 0
31871,e 40 41 0
31872,e 41 42 0
31873,e 43 44 0
31874,e 45 47 0
31875,e 46 48 0
31876,e 47 48 0
31877,t # 327
31878,v 0 0
31879,v 1 0
31880,v 2 0
31881,v 3 0
31882,v 4 0
31883,v 5 0
31884,v 6 0
31885,v 7 0
31886,v 8 0
31887,v 9 0
31888,v 10 0
31889,v 11 0
31890,v 12 0
31891,v 13 0
31892,v 14 0
31893,v 15 0
31894,v 16 1
31895,v 17 1
31896,v 18 1
31897,v 19 1
31898,v 20 1
31899,v 21 1
31900,v 22 1
31901,v 23 1
31902,v 24 1
31903,v 25 1
31904,v 26 1
31905,e 0 16 0
31906,e 0 17 0
31907,e 0 1 0
31908,e 1 16 0
31909,e 1 17 0
31910,e 2 18 0
31911,e 2 17 0
31912,e 2 3 0
31913,e 3 20 0
31914,e 3 18 0
31915,e 4 20 0
31916,e 4 5 0
31917,e 4 19 0
31918,e 5 19 0
31919,e 5 21 0
31920,e 6 24 0
31921,e 6 23 0
31922,e 6 21 0
31923,e 7 25 0
31924,e 7 8 0
31925,e 7 9 0
31926,e 8 10 0
31927,e 8 25 0
31928,e 8 9 0
31929,e 9 10 0
31930,e 9 25 0
31931,e 10 11 0
31932,e 11 13 0
31933,e 11 12 0
31934,e 11 14 0
31935,e 12 13 0
31936,e 12 14 0
31937,e 13 14 0
31938,e 13 15 0
31939,e 13 26 0
31940,e 14 15 0
31941,e 14 26 0
31942,e 15 26 0
31943,e 16 18 0
31944,e 16 17 0
31945,e 17 18 0
31946,e 19 20 0
31947,e 21 23 0
31948,e 21 24 0
31949,e 22 24 0
31950,e 22 25 0
31951,e 22 23 0
31952,e 23 24 0
31953,e 24 25 0
31954,t # 328
31955,v 0 0
31956,v 1 0
31957,v 2 0
31958,v 3 1
31959,v 4 1
31960,v 5 1
31961,v 6 1
31962,v 7 1
31963,v 8 1
31964,v 9 1
31965,v 10 1
31966,v 11 1
31967,e 0 1 0
31968,e 0 8 0
31969,e 0 3 0
31970,e 1 2 0
31971,e 1 3 0
31972,e 2 7 0
31973,e 2 3 0
31974,e 3 8 0
31975,e 3 4 0
31976,e 3 9 0
31977,e 4 8 0
31978,e 4 9 0
31979,e 5 10 0
31980,e 5 7 0
31981,e 5 11 0
31982,e 5 6 0
31983,e 6 10 0
31984,e 6 7 0
31985,e 6 11 0
31986,e 7 11 0
31987,e 8 9 0
31988,e 10 11 0
31989,t # 329
31990,v 0 0
31991,v 1 0
31992,v 2 1
31993,v 3 1
31994,v 4 1
31995,v 5 1
31996,v 6 1
31997,v 7 1
31998,v 8 1
31999,v 9 1
32000,v 10 1
32001,v 11 1
32002,v 12 1
32003,v 13 1
32004,e 0 13 0
32005,e 0 7 0
32006,e 0 1 0
32007,e 1 13 0
32008,e 1 7 0
32009,e 1 8 0
32010,e 1 2 0
32011,e 2 13 0
32012,e 2 7 0
32013,e 3 10 0
32014,e 3 4 0
32015,e 4 5 0
32016,e 4 9 0
32017,e 5 12 0
32018,e 5 6 0
32019,e 6 13 0
32020,e 6 7 0
32021,e 6 11 0
32022,e 7 8 0
32023,e 7 13 0
32024,e 7 12 0
32025,e 8 13 0
32026,e 9 10 0
32027,e 10 11 0
32028,e 11 12 0
32029,e 12 13 0
32030,t # 330
32031,v 0 0
32032,v 1 0
32033,v 2 0
32034,v 3 0
32035,v 4 0
32036,v 5 0
32037,v 6 0
32038,v 7 0
32039,v 8 0
32040,v 9 0
32041,v 10 0
32042,v 11 0
32043,v 12 0
32044,v 13 1
32045,v 14 1
32046,v 15 1
32047,v 16 1
32048,v 17 1
32049,v 18 1
32050,v 19 1
32051,v 20 1
32052,v 21 1
32053,v 22 1
32054,e 0 13 0
32055,e 0 1 0
32056,e 0 2 0
32057,e 0 22 0
32058,e 1 3 0
32059,e 1 2 0
32060,e 1 13 0
32061,e 1 14 0
32062,e 1 17 0
32063,e 1 15 0
32064,e 2 16 0
32065,e 2 3 0
32066,e 2 4 0
32067,e 2 17 0
32068,e 3 16 0
32069,e 3 4 0
32070,e 4 16 0
32071,e 4 19 0
32072,e 5 20 0
32073,e 5 7 0
32074,e 5 6 0
32075,e 5 19 0
32076,e 5 21 0
32077,e 6 7 0
32078,e 6 8 0
32079,e 7 8 0
32080,e 8 10 0
32081,e 8 9 0
32082,e 9 10 0
32083,e 9 11 0
32084,e 9 12 0
32085,e 9 18 0
32086,e 10 11 0
32087,e 10 12 0
32088,e 10 18 0
32089,e 11 12 0
32090,e 12 18 0
32091,e 13 14 0
32092,e 13 15 0
32093,e 13 22 0
32094,e 14 15 0
32095,e 14 22 0
32096,e 15 16 0
32097,e 15 17 0
32098,e 16 17 0
32099,e 19 20 0
32100,e 19 21 0
32101,e 20 21 0
32102,t # 331
32103,v 0 0
32104,v 1 0
32105,v 2 0
32106,v 3 0
32107,v 4 0
32108,v 5 0
32109,v 6 0
32110,v 7 0
32111,v 8 0
32112,v 9 0
32113,v 10 0
32114,v 11 0
32115,v 12 0
32116,v 13 0
32117,v 14 1
32118,v 15 1
32119,v 16 1
32120,v 17 1
32121,v 18 1
32122,v 19 1
32123,v 20 1
32124,v 21 1
32125,v 22 1
32126,v 23 1
32127,e 0 2 0
32128,e 0 1 0
32129,e 0 23 0
32130,e 0 14 0
32131,e 1 16 0
32132,e 1 3 0
32133,e 1 14 0
32134,e 1 2 0
32135,e 1 15 0
32136,e 2 16 0
32137,e 2 18 0
32138,e 2 3 0
32139,e 2 4 0
32140,e 2 17 0
32141,e 3 17 0
32142,e 3 4 0
32143,e 4 20 0
32144,e 4 17 0
32145,e 5 7 0
32146,e 5 8 0
32147,e 5 6 0
32148,e 5 22 0
32149,e 6 7 0
32150,e 6 8 0
32151,e 6 22 0
32152,e 6 20 0
32153,e 6 21 0
32154,e 7 8 0
32155,e 8 9 0
32156,e 9 10 0
32157,e 9 11 0
32158,e 10 13 0
32159,e 10 11 0
32160,e 10 12 0
32161,e 11 13 0
32162,e 11 12 0
32163,e 11 19 0
32164,e 12 13 0
32165,e 12 19 0
32166,e 13 19 0
32167,e 14 16 0
32168,e 14 23 0
32169,e 14 15 0
32170,e 15 16 0
32171,e 15 23 0
32172,e 16 18 0
32173,e 16 17 0
32174,e 17 18 0
32175,e 20 22 0
32176,e 20 21 0
32177,e 21 22 0
32178,t # 332
32179,v 0 0
32180,v 1 0
32181,v 2 0
32182,v 3 0
32183,v 4 0
32184,v 5 0
32185,v 6 0
32186,v 7 0
32187,v 8 0
32188,v 9 0
32189,v 10 0
32190,v 11 0
32191,v 12 0
32192,v 13 0
32193,v 14 0
32194,v 15 0
32195,v 16 0
32196,v 17 0
32197,v 18 0
32198,v 19 0
32199,v 20 1
32200,v 21 1
32201,v 22 1
32202,v 23 1
32203,v 24 1
32204,v 25 1
32205,v 26 1
32206,v 27 1
32207,v 28 1
32208,v 29 1
32209,v 30 1
32210,v 31 1
32211,v 32 1
32212,e 0 25 0
32213,e 0 23 0
32214,e 0 22 0
32215,e 1 2 0
32216,e 1 28 0
32217,e 1 24 0
32218,e 2 3 0
32219,e 2 28 0
32220,e 2 31 0
32221,e 2 24 0
32222,e 3 29 0
32223,e 3 4 0
32224,e 3 31 0
32225,e 4 5 0
32226,e 4 32 0
32227,e 4 6 0
32228,e 5 7 0
32229,e 5 6 0
32230,e 6 7 0
32231,e 7 8 0
32232,e 7 9 0
32233,e 8 10 0
32234,e 8 9 0
32235,e 9 10 0
32236,e 10 11 0
32237,e 11 13 0
32238,e 11 12 0
32239,e 11 14 0
32240,e 12 13 0
32241,e 12 14 0
32242,e 13 14 0
32243,e 14 15 0
32244,e 15 16 0
32245,e 15 18 0
32246,e 15 17 0
32247,e 15 19 0
32248,e 16 18 0
32249,e 16 17 0
32250,e 16 19 0
32251,e 17 18 0
32252,e 18 19 0
32253,e 20 27 0
32254,e 20 22 0
32255,e 20 26 0
32256,e 20 21 0
32257,e 21 23 0
32258,e 21 22 0
32259,e 21 26 0
32260,e 21 27 0
32261,e 22 23 0
32262,e 23 25 0
32263,e 24 25 0
32264,e 24 28 0
32265,e 25 28 0
32266,e 26 27 0
32267,e 29 30 0
32268,e 29 32 0
32269,e 29 31 0
32270,e 30 32 0
32271,e 30 31 0
32272,e 31 32 0
32273,t # 333
32274,v 0 0
32275,v 1 0
32276,v 2 0
32277,v 3 0
32278,v 4 0
32279,v 5 0
32280,v 6 0
32281,v 7 0
32282,v 8 0
32283,v 9 0
32284,v 10 0
32285,v 11 0
32286,v 12 0
32287,v 13 0
32288,v 14 1
32289,v 15 1
32290,v 16 1
32291,v 17 1
32292,v 18 1
32293,v 19 1
32294,v 20 1
32295,v 21 1
32296,v 22 1
32297,v 23 1
32298,v 24 1
32299,v 25 1
32300,v 26 1
32301,e 0 16 0
32302,e 0 18 0
32303,e 0 1 0
32304,e 1 2 0
32305,e 1 18 0
32306,e 1 23 0
32307,e 2 17 0
32308,e 2 3 0
32309,e 2 24 0
32310,e 3 4 0
32311,e 3 24 0
32312,e 4 5 0
32313,e 4 25 0
32314,e 4 26 0
32315,e 5 7 0
32316,e 5 25 0
32317,e 5 6 0
32318,e 5 26 0
32319,e 6 7 0
32320,e 6 8 0
32321,e 7 8 0
32322,e 8 9 0
32323,e 9 10 0
32324,e 9 11 0
32325,e 10 13 0
32326,e 10 11 0
32327,e 10 12 0
32328,e 11 13 0
32329,e 11 12 0
32330,e 12 13 0
32331,e 14 20 0
32332,e 14 15 0
32333,e 14 19 0
32334,e 15 16 0
32335,e 15 18 0
32336,e 15 19 0
32337,e 15 20 0
32338,e 15 21 0
32339,e 16 20 0
32340,e 16 18 0
32341,e 16 21 0
32342,e 17 24 0
32343,e 17 23 0
32344,e 17 22 0
32345,e 18 21 0
32346,e 19 20 0
32347,e 20 21 0
32348,e 22 24 0
32349,e 22 23 0
32350,e 23 24 0
32351,e 25 26 0
32352,t # 334
32353,v 0 0
32354,v 1 0
32355,v 2 0
32356,v 3 0
32357,v 4 0
32358,v 5 0
32359,v 6 0
32360,v 7 0
32361,v 8 0
32362,v 9 0
32363,v 10 0
32364,v 11 0
32365,v 12 0
32366,v 13 0
32367,v 14 0
32368,v 15 0
32369,v 16 1
32370,v 17 1
32371,v 18 1
32372,v 19 1
32373,v 20 1
32374,v 21 1
32375,v 22 1
32376,v 23 1
32377,v 24 1
32378,e 0 1 0
32379,e 0 2 0
32380,e 0 3 0
32381,e 0 15 0
32382,e 0 14 0
32383,e 1 18 0
32384,e 1 3 0
32385,e 1 2 0
32386,e 1 14 0
32387,e 1 15 0
32388,e 2 20 0
32389,e 2 3 0
32390,e 2 4 0
32391,e 3 5 0
32392,e 3 4 0
32393,e 3 19 0
32394,e 4 5 0
32395,e 4 21 0
32396,e 5 7 0
32397,e 5 23 0
32398,e 5 6 0
32399,e 5 21 0
32400,e 6 7 0
32401,e 6 8 0
32402,e 6 22 0
32403,e 7 8 0
32404,e 7 9 0
32405,e 8 9 0
32406,e 9 10 0
32407,e 10 13 0
32408,e 10 11 0
32409,e 10 12 0
32410,e 11 13 0
32411,e 11 12 0
32412,e 12 13 0
32413,e 14 15 0
32414,e 16 20 0
32415,e 16 18 0
32416,e 16 17 0
32417,e 17 20 0
32418,e 17 18 0
32419,e 18 20 0
32420,e 18 19 0
32421,e 19 20 0
32422,e 19 21 0
32423,e 21 24 0
32424,e 21 22 0
32425,e 21 23 0
32426,e 22 24 0
32427,e 22 23 0
32428,e 23 24 0
32429,t # 335
32430,v 0 0
32431,v 1 0
32432,v 2 0
32433,v 3 0
32434,v 4 0
32435,v 5 0
32436,v 6 0
32437,v 7 0
32438,v 8 0
32439,v 9 0
32440,v 10 0
32441,v 11 0
32442,v 12 0
32443,v 13 0
32444,v 14 0
32445,v 15 0
32446,v 16 0
32447,v 17 0
32448,v 18 1
32449,v 19 1
32450,v 20 1
32451,v 21 1
32452,v 22 1
32453,v 23 1
32454,v 24 1
32455,v 25 1
32456,v 26 1
32457,v 27 1
32458,e 0 1 0
32459,e 0 22 0
32460,e 0 24 0
32461,e 0 21 0
32462,e 1 2 0
32463,e 1 25 0
32464,e 1 3 0
32465,e 2 3 0
32466,e 2 4 0
32467,e 3 5 0
32468,e 3 4 0
32469,e 3 26 0
32470,e 4 5 0
32471,e 4 6 0
32472,e 4 27 0
32473,e 5 6 0
32474,e 5 7 0
32475,e 6 7 0
32476,e 7 8 0
32477,e 8 10 0
32478,e 8 9 0
32479,e 9 10 0
32480,e 9 11 0
32481,e 10 11 0
32482,e 11 12 0
32483,e 12 13 0
32484,e 12 14 0
32485,e 13 16 0
32486,e 13 17 0
32487,e 13 15 0
32488,e 13 14 0
32489,e 14 15 0
32490,e 15 16 0
32491,e 15 17 0
32492,e 16 17 0
32493,e 18 20 0
32494,e 18 19 0
32495,e 18 21 0
32496,e 19 20 0
32497,e 19 22 0
32498,e 19 21 0
32499,e 20 22 0
32500,e 20 21 0
32501,e 21 22 0
32502,e 22 24 0
32503,e 23 24 0
32504,e 23 25 0
32505,e 23 26 0
32506,e 24 25 0
32507,e 25 26 0
32508,e 25 27 0
32509,e 26 27 0
32510,t # 336
32511,v 0 0
32512,v 1 0
32513,v 2 0
32514,v 3 0
32515,v 4 0
32516,v 5 0
32517,v 6 0
32518,v 7 0
32519,v 8 0
32520,v 9 0
32521,v 10 0
32522,v 11 0
32523,v 12 0
32524,v 13 0
32525,v 14 0
32526,v 15 0
32527,v 16 0
32528,v 17 0
32529,v 18 0
32530,v 19 1
32531,v 20 1
32532,v 21 1
32533,v 22 1
32534,v 23 1
32535,v 24 1
32536,v 25 1
32537,v 26 1
32538,v 27 1
32539,e 0 1 0
32540,e 0 22 0
32541,e 0 21 0
32542,e 1 25 0
32543,e 1 23 0
32544,e 1 22 0
32545,e 2 24 0
32546,e 2 3 0
32547,e 2 4 0
32548,e 3 24 0
32549,e 3 4 0
32550,e 3 26 0
32551,e 4 5 0
32552,e 4 26 0
32553,e 4 6 0
32554,e 4 27 0
32555,e 5 7 0
32556,e 5 8 0
32557,e 5 6 0
32558,e 5 27 0
32559,e 6 7 0
32560,e 6 8 0
32561,e 7 8 0
32562,e 8 9 0
32563,e 9 10 0
32564,e 9 11 0
32565,e 10 11 0
32566,e 10 12 0
32567,e 11 12 0
32568,e 12 13 0
32569,e 12 14 0
32570,e 13 16 0
32571,e 13 15 0
32572,e 13 14 0
32573,e 14 16 0
32574,e 14 17 0
32575,e 14 15 0
32576,e 15 16 0
32577,e 15 18 0
32578,e 15 17 0
32579,e 16 18 0
32580,e 16 17 0
32581,e 17 18 0
32582,e 19 20 0
32583,e 19 22 0
32584,e 19 21 0
32585,e 20 22 0
32586,e 20 21 0
32587,e 21 23 0
32588,e 21 22 0
32589,e 22 23 0
32590,e 23 25 0
32591,e 24 25 0
32592,e 26 27 0
32593,t # 337
32594,v 0 1
32595,v 1 1
32596,v 2 1
32597,v 3 1
32598,v 4 1
32599,v 5 1
32600,v 6 1
32601,v 7 1
32602,v 8 1
32603,v 9 1
32604,v 10 1
32605,v 11 1
32606,e 0 10 0
32607,e 0 2 0
32608,e 0 6 0
32609,e 1 10 0
32610,e 1 8 0
32611,e 1 4 0
32612,e 2 10 0
32613,e 2 6 0
32614,e 3 7 0
32615,e 3 11 0
32616,e 3 5 0
32617,e 3 4 0
32618,e 3 8 0
32619,e 3 9 0
32620,e 4 8 0
32621,e 4 7 0
32622,e 5 7 0
32623,e 5 11 0
32624,e 5 9 0
32625,e 6 10 0
32626,e 7 8 0
32627,e 9 11 0
32628,t # 338
32629,v 0 0
32630,v 1 0
32631,v 2 0
32632,v 3 0
32633,v 4 0
32634,v 5 0
32635,v 6 0
32636,v 7 0
32637,v 8 0
32638,v 9 0
32639,v 10 0
32640,v 11 0
32641,v 12 0
32642,v 13 0
32643,v 14 0
32644,v 15 0
32645,v 16 0
32646,v 17 1
32647,v 18 1
32648,v 19 1
32649,v 20 1
32650,v 21 1
32651,v 22 1
32652,v 23 1
32653,v 24 1
32654,v 25 1
32655,e 0 16 0
32656,e 0 18 0
32657,e 0 17 0
32658,e 0 1 0
32659,e 1 16 0
32660,e 1 18 0
32661,e 1 17 0
32662,e 1 2 0
32663,e 2 3 0
32664,e 2 19 0
32665,e 3 20 0
32666,e 3 19 0
32667,e 3 21 0
32668,e 4 20 0
32669,e 4 5 0
32670,e 4 6 0
32671,e 5 20 0
32672,e 5 6 0
32673,e 5 22 0
32674,e 6 7 0
32675,e 6 22 0
32676,e 6 24 0
32677,e 7 8 0
32678,e 7 23 0
32679,e 7 9 0
32680,e 8 10 0
32681,e 8 9 0
32682,e 9 10 0
32683,e 10 11 0
32684,e 11 13 0
32685,e 11 12 0
32686,e 12 13 0
32687,e 12 14 0
32688,e 12 15 0
32689,e 13 14 0
32690,e 13 15 0
32691,e 14 15 0
32692,e 16 17 0
32693,e 17 18 0
32694,e 17 19 0
32695,e 18 19 0
32696,e 19 21 0
32697,e 20 21 0
32698,e 22 25 0
32699,e 22 23 0
32700,e 22 24 0
32701,e 23 24 0
32702,e 23 25 0
32703,e 24 25 0
32704,t # 339
32705,v 0 0
32706,v 1 0
32707,v 2 0
32708,v 3 0
32709,v 4 0
32710,v 5 0
32711,v 6 0
32712,v 7 0
32713,v 8 0
32714,v 9 0
32715,v 10 0
32716,v 11 0
32717,v 12 0
32718,v 13 0
32719,v 14 0
32720,v 15 0
32721,v 16 0
32722,v 17 0
32723,v 18 0
32724,v 19 0
32725,v 20 0
32726,v 21 0
32727,v 22 0
32728,v 23 0
32729,v 24 1
32730,v 25 1
32731,v 26 1
32732,v 27 1
32733,e 0 1 0
32734,e 0 3 0
32735,e 0 2 0
32736,e 1 2 0
32737,e 1 3 0
32738,e 1 4 0
32739,e 2 3 0
32740,e 2 4 0
32741,e 3 5 0
32742,e 3 4 0
32743,e 3 17 0
32744,e 4 5 0
32745,e 4 17 0
32746,e 5 6 0
32747,e 6 7 0
32748,e 6 19 0
32749,e 7 24 0
32750,e 7 18 0
32751,e 8 10 0
32752,e 8 25 0
32753,e 8 9 0
32754,e 9 10 0
32755,e 9 11 0
32756,e 10 11 0
32757,e 11 23 0
32758,e 12 13 0
32759,e 12 14 0
32760,e 12 15 0
32761,e 13 16 0
32762,e 13 15 0
32763,e 13 14 0
32764,e 14 16 0
32765,e 14 15 0
32766,e 15 16 0
32767,e 16 17 0
32768,e 17 18 0
32769,e 18 19 0
32770,e 19 26 0
32771,e 20 27 0
32772,e 20 22 0
32773,e 20 21 0
32774,e 21 23 0
32775,e 21 22 0
32776,e 22 23 0
32777,e 24 25 0
32778,e 24 27 0
32779,e 25 26 0
32780,e 25 27 0
32781,e 26 27 0
32782,t # 340
32783,v 0 0
32784,v 1 0
32785,v 2 0
32786,v 3 0
32787,v 4 0
32788,v 5 0
32789,v 6 0
32790,v 7 0
32791,v 8 0
32792,v 9 0
32793,v 10 0
32794,v 11 0
32795,v 12 0
32796,v 13 0
32797,v 14 0
32798,v 15 0
32799,v 16 0
32800,v 17 0
32801,v 18 1
32802,v 19 1
32803,v 20 1
32804,v 21 1
32805,v 22 1
32806,v 23 1
32807,v 24 1
32808,v 25 1
32809,v 26 1
32810,v 27 1
32811,e 0 24 0
32812,e 0 22 0
32813,e 0 21 0
32814,e 1 2 0
32815,e 1 25 0
32816,e 1 23 0
32817,e 2 25 0
32818,e 2 23 0
32819,e 2 3 0
32820,e 2 26 0
32821,e 3 26 0
32822,e 3 5 0
32823,e 3 4 0
32824,e 3 27 0
32825,e 4 5 0
32826,e 4 6 0
32827,e 4 7 0
32828,e 4 27 0
32829,e 5 6 0
32830,e 5 7 0
32831,e 6 7 0
32832,e 7 8 0
32833,e 8 10 0
32834,e 8 9 0
32835,e 9 10 0
32836,e 9 11 0
32837,e 10 11 0
32838,e 11 13 0
32839,e 11 12 0
32840,e 12 13 0
32841,e 12 14 0
32842,e 12 15 0
32843,e 13 16 0
32844,e 13 15 0
32845,e 13 14 0
32846,e 14 16 0
32847,e 14 17 0
32848,e 14 15 0
32849,e 15 16 0
32850,e 15 17 0
32851,e 16 17 0
32852,e 18 20 0
32853,e 18 19 0
32854,e 18 21 0
32855,e 19 20 0
32856,e 19 21 0
32857,e 20 22 0
32858,e 20 21 0
32859,e 21 22 0
32860,e 22 24 0
32861,e 23 25 0
32862,e 23 24 0
32863,e 24 25 0
32864,e 26 27 0
32865,t # 341
32866,v 0 0
32867,v 1 0
32868,v 2 0
32869,v 3 0
32870,v 4 0
32871,v 5 0
32872,v 6 0
32873,v 7 0
32874,v 8 0
32875,v 9 0
32876,v 10 0
32877,v 11 0
32878,v 12 0
32879,v 13 0
32880,v 14 0
32881,v 15 0
32882,v 16 0
32883,v 17 1
32884,v 18 1
32885,v 19 1
32886,v 20 1
32887,v 21 1
32888,v 22 1
32889,v 23 1
32890,v 24 1
32891,v 25 1
32892,e 0 1 0
32893,e 0 3 0
32894,e 0 2 0
32895,e 1 2 0
32896,e 1 18 0
32897,e 1 17 0
32898,e 1 3 0
32899,e 2 3 0
32900,e 2 19 0
32901,e 3 4 0
32902,e 3 21 0
32903,e 4 20 0
32904,e 4 5 0
32905,e 4 21 0
32906,e 5 6 0
32907,e 5 22 0
32908,e 6 7 0
32909,e 6 22 0
32910,e 6 24 0
32911,e 7 8 0
32912,e 7 23 0
32913,e 7 9 0
32914,e 8 10 0
32915,e 8 9 0
32916,e 9 10 0
32917,e 10 11 0
32918,e 11 13 0
32919,e 11 12 0
32920,e 12 13 0
32921,e 12 14 0
32922,e 12 15 0
32923,e 13 16 0
32924,e 13 15 0
32925,e 13 14 0
32926,e 14 16 0
32927,e 14 15 0
32928,e 15 16 0
32929,e 17 18 0
32930,e 17 19 0
32931,e 18 19 0
32932,e 19 20 0
32933,e 19 21 0
32934,e 20 21 0
32935,e 22 25 0
32936,e 22 23 0
32937,e 22 24 0
32938,e 23 24 0
32939,e 23 25 0
32940,e 24 25 0
32941,t # 342
32942,v 0 0
32943,v 1 0
32944,v 2 0
32945,v 3 0
32946,v 4 0
32947,v 5 0
32948,v 6 0
32949,v 7 0
32950,v 8 0
32951,v 9 0
32952,v 10 0
32953,v 11 0
32954,v 12 0
32955,v 13 0
32956,v 14 0
32957,v 15 0
32958,v 16 0
32959,v 17 1
32960,v 18 1
32961,v 19 1
32962,v 20 1
32963,v 21 1
32964,v 22 1
32965,v 23 1
32966,e 0 16 0
32967,e 0 18 0
32968,e 0 17 0
32969,e 1 2 0
32970,e 1 18 0
32971,e 1 17 0
32972,e 1 19 0
32973,e 1 21 0
32974,e 2 20 0
32975,e 2 19 0
32976,e 2 21 0
32977,e 3 20 0
32978,e 3 5 0
32979,e 3 4 0
32980,e 4 20 0
32981,e 4 5 0
32982,e 5 23 0
32983,e 5 22 0
32984,e 6 7 0
32985,e 6 8 0
32986,e 6 23 0
32987,e 7 8 0
32988,e 7 23 0
32989,e 7 9 0
32990,e 7 22 0
32991,e 8 9 0
32992,e 9 10 0
32993,e 10 11 0
32994,e 10 12 0
32995,e 11 13 0
32996,e 11 12 0
32997,e 11 14 0
32998,e 12 13 0
32999,e 12 15 0
33000,e 12 14 0
33001,e 13 14 0
33002,e 13 15 0
33003,e 14 15 0
33004,e 16 18 0
33005,e 16 17 0
33006,e 17 18 0
33007,e 17 19 0
33008,e 18 19 0
33009,e 20 21 0
33010,e 22 23 0
33011,t # 343
33012,v 0 0
33013,v 1 0
33014,v 2 0
33015,v 3 0
33016,v 4 0
33017,v 5 0
33018,v 6 0
33019,v 7 0
33020,v 8 0
33021,v 9 0
33022,v 10 0
33023,v 11 0
33024,v 12 0
33025,v 13 0
33026,v 14 0
33027,v 15 0
33028,v 16 1
33029,v 17 1
33030,v 18 1
33031,v 19 1
33032,v 20 1
33033,v 21 1
33034,v 22 1
33035,e 0 20 0
33036,e 0 1 0
33037,e 0 15 0
33038,e 1 20 0
33039,e 1 15 0
33040,e 1 19 0
33041,e 2 18 0
33042,e 2 3 0
33043,e 2 19 0
33044,e 3 16 0
33045,e 3 18 0
33046,e 3 19 0
33047,e 4 16 0
33048,e 4 17 0
33049,e 4 5 0
33050,e 5 17 0
33051,e 5 6 0
33052,e 5 21 0
33053,e 6 21 0
33054,e 6 22 0
33055,e 7 8 0
33056,e 7 9 0
33057,e 7 22 0
33058,e 8 10 0
33059,e 8 9 0
33060,e 9 10 0
33061,e 10 11 0
33062,e 11 13 0
33063,e 11 12 0
33064,e 11 14 0
33065,e 12 13 0
33066,e 12 14 0
33067,e 13 14 0
33068,e 15 20 0
33069,e 16 17 0
33070,e 18 20 0
33071,e 18 19 0
33072,e 19 20 0
33073,e 21 22 0
33074,t # 344
33075,v 0 0
33076,v 1 0
33077,v 2 0
33078,v 3 0
33079,v 4 0
33080,v 5 0
33081,v 6 0
33082,v 7 0
33083,v 8 0
33084,v 9 0
33085,v 10 0
33086,v 11 0
33087,v 12 0
33088,v 13 1
33089,v 14 1
33090,v 15 1
33091,v 16 1
33092,v 17 1
33093,v 18 1
33094,v 19 1
